feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,day,hour,minute,target
470.93368490878737,,20.34198184050854,87.06172226359521,2854.097631667741,52.455972321952075,2744.457436497783,1331.0648391048962,653.0241182480502,2.0,4.0,34.0,767.5181005430378
322.75233376532435,1706.9700607321925,20.208098590460747,,2962.9799885978423,41.355108087308466,1690.2481844622948,1198.6548287262704,636.7398606288016,2.0,10.0,43.0,399.80984878818833
437.01861508270616,2488.229728882432,20.234919017302705,83.67235507981246,2873.775117606324,48.856836955895055,2441.896999147011,1319.0099626090405,651.8660062473642,,10.0,43.0,678.723321451854
286.16400216061135,,20.388649203963833,73.36388565095794,2947.575122977304,37.9272849272967,1487.642315744478,1139.4638204661017,538.7493666081939,2.0,16.0,2.0,263.4997753993423
437.5932456067391,2481.820612777633,20.492802925971247,82.67495950541202,2836.6786335739266,,2428.4576280043393,,642.2567152708586,1.0,12.0,52.0,679.299660078987
431.00919133670203,2429.2062742678445,20.38858485146745,83.9693002206855,,48.81527856576977,,1294.629619924958,642.0185251383884,2.0,6.0,58.0,656.4877161998563
433.6311331221988,,20.306553065182218,83.78503997369204,2827.0224104382382,50.36244972274448,,1318.6040794582711,643.9386934200203,1.0,23.0,9.0,713.0133859215894
428.79970254075823,2523.7079581788507,20.457695073808893,,2904.20225215433,49.20242510334524,2439.9007658049804,1319.4734384251253,645.8146959365503,1.0,12.0,20.0,683.0484027376629
453.95452522624754,2626.2540822274605,20.350636774976298,84.85565378148708,2819.1107179268624,50.37111604519929,2577.0488380595534,1320.0355901043552,652.4440218470946,1.0,20.0,48.0,726.5923550997136
478.01345443417017,,20.234191228669317,85.02071800614691,2855.7388694865163,51.657408377658705,,1346.1375166056418,642.1607497632922,2.0,4.0,37.0,774.5876938456745
448.7358155527927,2569.476773490573,20.49466740860319,84.56043253218888,2853.0664926805002,49.83614543697821,2542.924828422807,1324.7153889695194,647.4223221524763,2.0,3.0,0.0,711.2232161304605
445.0778642773977,2600.648520819422,20.44613799796362,85.31370635512424,2871.7164655478277,50.611036058696996,,1325.6431289315767,652.4091624262999,1.0,6.0,22.0,722.3112827018433
437.3403360131489,2607.957791286651,20.428258002387988,83.85373537344714,2864.8887381151176,50.27597186426502,2560.0073618673946,1325.1952752323994,649.7829564915854,1.0,21.0,27.0,717.9638215755402
453.68816312142707,2608.751346085506,,84.53607892484885,2837.5111921973335,49.60465133743241,2530.3222632087054,1318.5699047264718,648.2762884104546,1.0,17.0,,724.256882095934
417.0074136122046,2566.1570351049872,20.390517944732828,85.28141553075044,2885.927252539031,50.51696177438746,2517.043049571962,1322.6067889432,642.4336906512461,1.0,9.0,36.0,705.83441191884
442.6421093531083,2537.4998686498484,20.397955299126863,83.4490657386768,2835.013723477087,49.43315201026789,2494.9730064407945,1305.7903172889792,648.3560246954617,1.0,15.0,34.0,691.0818596966816
483.30041202198623,2784.8916200185795,20.289558999637034,85.61486679214171,2859.7082871628145,51.08969842195967,2745.6690116926443,1351.826135244288,646.2902573530149,2.0,4.0,52.0,770.002047355616
