timp(ms),,sch operatii,task1,repetare,speed,J1,J2,J3,J4,J5,J6,X,Y,Z,,,,,,
1580,op_change,0,to_home,48,0,-0.4687918,21.74544,-10.45525,-0.0007247237,78.71111,-0.5230376,575.9996,-4.7113,546.9863,01/07/2024,11:20:12,,01/07/2024,11:29:45,
1738,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45514,-0.0007247237,78.71111,-0.5228668,575.9995,-4.712357,546.9863,01/07/2024,11:20:13,,01/07/2024,11:29:46,
1859,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0007247237,78.71127,-0.5228566,575.9995,-4.711299,546.9857,01/07/2024,11:20:13,,01/07/2024,11:29:46,
1984,op_change,0,to_home,48,0,-0.4686865,21.74554,-10.45525,-0.0004545681,78.7111,-0.5228477,575.9995,-4.711599,546.9857,01/07/2024,11:20:13,,01/07/2024,11:29:46,
2102,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45514,-0.0007247237,78.71127,-0.5229454,575.9998,-4.711602,546.9871,01/07/2024,11:20:13,,01/07/2024,11:29:46,
2224,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45514,-0.0004545681,78.7111,-0.5228477,575.9997,-4.712659,546.9863,01/07/2024,11:20:13,,01/07/2024,11:29:46,
2345,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45514,-0.0004545681,78.71126,-0.523097,575.9998,-4.7113,546.9863,01/07/2024,11:20:13,,01/07/2024,11:29:46,
2473,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45514,-0.0004545681,78.71126,-0.523097,575.9993,-4.712355,546.9857,01/07/2024,11:20:13,,01/07/2024,11:29:46,
2584,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0007247237,78.71111,-0.5230376,575.9995,-4.712657,546.9863,01/07/2024,11:20:13,,01/07/2024,11:29:46,
2708,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45525,-0.0007247237,78.71111,-0.5230376,575.9993,-4.712656,546.9857,01/07/2024,11:20:13,,01/07/2024,11:29:47,
2827,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0004545681,78.7111,-0.5228477,575.9993,-4.712656,546.9874,01/07/2024,11:20:14,,01/07/2024,11:29:47,
2948,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0004545681,78.7111,-0.5228477,575.9995,-4.712657,546.9863,01/07/2024,11:20:14,,01/07/2024,11:29:47,
3070,op_change,0,to_home,48,0,-0.4686865,21.74554,-10.45525,-0.0007247237,78.71127,-0.5231161,575.9995,-4.711599,546.9857,01/07/2024,11:20:14,,01/07/2024,11:29:47,
3191,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0004545681,78.71126,-0.5229263,576.0001,-4.712361,546.9855,01/07/2024,11:20:14,,01/07/2024,11:29:47,
3311,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45514,-0.0007247237,78.71103,-0.5229966,575.9995,-4.712357,546.9857,01/07/2024,11:20:14,,01/07/2024,11:29:47,
3431,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45536,-0.0007247237,78.71111,-0.5230376,575.9995,-4.712657,546.9857,01/07/2024,11:20:14,,01/07/2024,11:29:47,
3552,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45525,-0.0004545681,78.7111,-0.5228477,575.9995,-4.712657,546.9863,01/07/2024,11:20:14,,01/07/2024,11:29:47,
3673,op_change,0,to_home,48,0,-0.4687918,21.74544,-10.45525,-0.0007247237,78.71111,-0.5228668,575.9995,-4.712357,546.9863,01/07/2024,11:20:14,,01/07/2024,11:29:47,
3794,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45536,-0.0004545681,78.71126,-0.5229263,576,-4.712661,546.9871,01/07/2024,11:20:15,,01/07/2024,11:29:48,
3915,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45525,-0.0007247237,78.71127,-0.5231161,576,-4.712661,546.9871,01/07/2024,11:20:15,,01/07/2024,11:29:48,
4036,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0004545681,78.7111,-0.5228477,575.9996,-4.7113,546.9863,01/07/2024,11:20:15,,01/07/2024,11:29:48,
4157,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0004545681,78.7111,-0.5230185,575.9998,-4.7113,546.9863,01/07/2024,11:20:15,,01/07/2024,11:29:48,
4278,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0004545681,78.71126,-0.5229263,575.9998,-4.711301,546.9871,01/07/2024,11:20:15,,01/07/2024,11:29:48,
4399,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45514,-0.0007247237,78.71127,-0.5229454,575.9998,-4.7113,546.9863,01/07/2024,11:20:15,,01/07/2024,11:29:48,
4521,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45525,-0.0004545681,78.71126,-0.5229263,575.9991,-4.712655,546.9874,01/07/2024,11:20:15,,01/07/2024,11:29:48,
4641,op_change,0,to_home,48,0,-0.4686865,21.74554,-10.45514,-0.0007247237,78.71111,-0.5228668,575.9993,-4.712656,546.9857,01/07/2024,11:20:15,,01/07/2024,11:29:48,
4762,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45514,-0.0004545681,78.7111,-0.5228477,575.9995,-4.711599,546.9857,01/07/2024,11:20:16,,01/07/2024,11:29:49,
4882,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0007247237,78.71127,-0.5229454,575.9995,-4.712357,546.9863,01/07/2024,11:20:16,,01/07/2024,11:29:49,
5003,op_change,0,to_home,48,0,-0.4686865,21.74554,-10.45525,-0.0007247237,78.71127,-0.5229454,575.9997,-4.712358,546.9863,01/07/2024,11:20:16,,01/07/2024,11:29:49,
5125,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45525,-0.0004545681,78.71126,-0.5229263,575.9993,-4.712355,546.9857,01/07/2024,11:20:16,,01/07/2024,11:29:49,
5247,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45514,-0.0004545681,78.7111,-0.5228477,575.9993,-4.711598,546.9857,01/07/2024,11:20:16,,01/07/2024,11:29:49,
5368,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45525,-0.0004545681,78.71126,-0.5229263,575.9991,-4.712354,546.9874,01/07/2024,11:20:16,,01/07/2024,11:29:49,
5488,op_change,0,to_home,48,0,-0.4685813,21.74544,-10.45525,-0.0004545681,78.71126,-0.5229263,575.9997,-4.711601,546.9863,01/07/2024,11:20:16,,01/07/2024,11:29:49,
5608,op_change,0,to_home,48,0,-0.4686865,21.74544,-10.45514,-0.0004545681,78.7111,-0.5228477,575.9988,-4.712652,546.9866,01/07/2024,11:20:16,,01/07/2024,11:29:49,
