id,target
0,28
1,8
2,29
3,30
4,21
5,8
6,24
7,4
8,30
9,7
10,20
11,5
12,9
13,7
14,9
15,19
16,0
17,27
18,20
19,15
20,15
21,1
22,21
23,9
24,12
25,2
26,30
27,20
28,27
29,30
30,12
31,11
32,12
33,28
34,3
35,25
36,0
37,12
38,14
39,0
40,7
41,12
42,27
43,28
44,2
45,12
46,12
47,18
48,3
49,27
50,27
51,13
52,2
53,28
54,11
55,2
56,0
57,20
58,14
59,25
60,21
61,30
62,25
63,10
64,23
65,1
66,12
67,1
68,21
69,19
70,16
71,26
72,12
73,6
74,11
75,29
76,1
77,25
78,13
79,24
80,3
81,25
82,15
83,18
84,30
85,7
86,13
87,11
88,12
89,31
90,0
91,9
92,21
93,9
94,30
95,25
96,28
97,29
98,7
99,9
100,1
101,0
102,28
103,26
104,8
105,12
106,13
107,9
108,28
109,18
110,17
111,3
112,27
113,15
114,11
115,24
116,0
117,9
118,2
119,25
120,2
121,13
122,3
123,23
124,31
125,17
126,9
127,21
128,1
129,25
130,3
131,25
132,25
133,25
134,23
135,12
136,27
137,20
138,22
139,7
140,29
141,20
142,3
143,9
144,2
145,12
146,31
147,6
148,19
149,9
150,11
151,29
152,17
153,12
154,28
155,15
156,7
157,1
158,10
159,12
160,12
161,19
162,19
163,15
164,11
165,7
166,17
167,10
168,7
169,15
170,28
171,18
172,20
173,22
174,12
175,21
176,1
177,28
178,9
179,30
180,13
181,21
182,21
183,0
184,3
185,24
186,19
187,20
188,22
189,28
190,2
191,14
192,14
193,2
194,12
195,24
196,3
197,29
198,14
199,3
200,19
201,31
202,29
203,10
204,24
205,0
206,19
207,12
208,3
209,9
210,26
211,31
212,27
213,1
214,9
215,18
216,11
217,31
218,24
219,0
220,24
221,18
222,29
223,14
224,11
225,2
226,20
227,28
228,24
229,22
230,28
231,15
232,20
233,18
234,16
235,30
236,18
237,14
238,13
239,29
240,11
241,15
242,11
243,2
244,30
245,15
246,3
247,9
248,15
249,27
250,19
251,14
252,28
253,1
254,0
255,3
256,2
257,1
258,23
259,6
260,8
261,14
262,1
263,9
264,3
265,0
266,28
267,18
268,1
269,1
270,24
271,22
272,21
273,22
274,27
275,28
276,21
277,12
278,7
279,12
280,24
281,12
282,1
283,12
284,12
285,0
286,20
287,27
288,8
289,13
290,22
291,22
292,12
293,11
294,11
295,3
296,24
297,5
298,1
299,26
300,9
301,24
302,14
303,12
304,30
305,18
306,13
307,24
308,20
309,7
310,4
311,18
312,1
313,8
314,12
315,21
316,1
317,31
318,18
319,3
320,7
321,12
322,7
323,1
324,2
325,4
326,25
327,16
328,5
329,11
330,11
331,11
332,21
333,3
334,18
335,27
336,24
337,0
338,24
339,4
340,9
341,21
342,4
343,9
344,2
345,15
346,19
347,3
348,7
349,29
350,27
351,22
352,2
353,12
354,8
355,28
356,22
357,20
358,4
359,26
360,12
361,3
362,13
363,0
364,11
365,29
366,24
367,19
368,2
369,17
370,2
371,13
372,19
373,29
374,9
375,18
376,1
377,0
378,11
379,15
380,27
381,24
382,5
383,13
384,13
385,22
386,3
387,13
388,22
389,24
390,20
391,26
392,19
393,4
394,0
395,13
396,21
397,22
398,12
399,29
400,28
401,0
402,25
403,4
404,10
405,0
406,18
407,9
408,12
409,24
410,12
411,25
412,27
413,29
414,24
415,25
416,28
417,9
418,15
419,9
420,30
421,12
422,7
423,29
424,14
425,0
426,31
427,18
428,25
429,21
430,30
431,19
432,24
433,15
434,0
435,3
436,16
437,3
438,18
439,28
440,13
441,27
442,23
443,5
444,27
445,31
446,1
447,2
448,27
449,1
450,18
451,5
452,19
453,25
454,21
455,15
456,19
457,0
458,26
459,28
460,11
461,8
462,25
463,18
464,19
465,1
466,2
467,1
468,28
469,22
470,26
471,19
472,1
473,17
474,6
475,5
476,20
477,3
478,11
479,19
480,16
481,8
482,27
483,0
484,17
485,31
486,14
487,15
488,28
489,2
490,25
491,23
492,7
493,21
494,7
495,31
496,17
497,9
498,21
499,8
500,14
501,12
502,6
503,20
504,24
505,5
506,14
507,28
508,9
509,31
510,7
511,19
512,31
513,15
514,27
515,30
516,12
517,19
518,0
519,20
520,0
521,2
522,13
523,0
524,7
525,30
526,6
527,6
528,31
529,14
530,13
531,12
532,25
533,3
534,8
535,2
536,5
537,15
538,1
539,28
540,24
541,8
542,1
543,3
544,17
545,21
546,10
547,30
548,27
549,9
550,15
551,24
552,23
553,8
554,12
555,12
556,19
557,7
558,18
559,19
560,3
561,20
562,26
563,14
564,27
565,26
566,7
567,22
568,18
569,4
570,4
571,1
572,16
573,24
574,22
575,25
576,2
577,25
578,14
579,31
580,17
581,1
582,29
583,4
584,12
585,18
586,13
587,19
588,13
589,6
590,3
591,22
592,7
593,8
594,28
595,2
596,11
597,29
598,2
599,12
600,27
601,0
602,11
603,22
604,29
605,28
606,27
607,1
608,25
609,13
610,26
611,11
612,25
613,21
614,0
615,2
616,27
617,2
618,19
619,8
620,28
621,8
622,11
623,26
624,22
625,17
626,8
627,29
628,14
629,29
630,27
631,12
632,14
633,22
634,27
635,22
636,1
637,12
638,1
639,0
640,4
641,13
642,8
643,5
644,22
645,22
646,24
647,28
648,13
649,19
650,24
651,25
652,17
653,12
654,25
655,15
656,8
657,23
658,4
659,27
660,11
661,31
662,3
663,15
664,1
665,29
666,10
667,12
668,12
669,20
670,3
671,13
672,9
673,23
674,11
675,24
676,20
677,22
678,9
679,19
680,20
681,4
682,8
683,3
684,26
685,3
686,27
687,12
688,18
689,17
690,8
691,15
692,12
693,6
694,8
695,22
696,15
697,13
698,7
699,8
700,7
701,28
702,1
703,17
704,8
705,27
706,27
707,9
708,31
709,10
710,11
711,17
712,28
713,25
714,29
715,17
716,29
717,2
718,27
719,25
720,12
721,10
722,4
723,8
724,7
725,7
726,8
727,2
728,3
729,8
730,7
731,24
732,8
733,30
734,15
735,27
736,14
737,19
738,12
739,29
740,12
741,1
742,5
743,27
744,27
745,1
746,10
747,22
748,0
749,29
750,13
751,5
752,21
753,20
754,12
755,29
756,3
757,29
758,15
759,19
760,1
761,24
762,0
763,24
764,26
765,20
766,28
767,1
768,8
769,2
770,3
771,2
772,29
773,25
774,30
775,13
776,22
777,26
778,24
779,10
780,31
781,28
782,13
783,15
784,17
785,22
786,1
787,17
788,18
789,28
790,25
791,25
792,5
793,15
794,1
795,7
796,9
797,31
798,30
799,9
800,6
801,15
802,3
803,18
804,27
805,8
806,14
807,3
808,18
809,24
810,22
811,15
812,3
813,31
814,17
815,21
816,12
817,1
818,17
819,24
820,16
821,20
822,11
823,28
824,7
825,13
826,30
827,4
828,25
829,11
830,18
831,31
832,3
833,5
834,21
835,18
836,2
837,24
838,31
839,3
840,0
841,21
842,19
843,29
844,22
845,13
846,18
847,13
848,9
849,7
850,28
851,8
852,25
853,11
854,29
855,11
856,3
857,5
858,22
859,0
860,11
861,22
862,13
863,7
864,16
865,31
866,30
867,26
868,5
869,28
870,20
871,24
872,26
873,13
874,15
875,4
876,30
877,12
878,19
879,9
880,26
881,13
882,30
883,22
884,6
885,26
886,12
887,1
888,12
889,7
890,12
891,7
892,10
893,7
894,8
895,12
896,15
897,3
898,24
899,1
900,14
901,7
902,30
903,19
904,24
905,13
906,27
907,25
908,20
909,11
910,28
911,15
912,28
913,18
914,8
915,3
916,3
917,25
918,29
919,26
920,28
921,24
922,15
923,18
924,27
925,18
926,21
927,12
928,25
929,18
930,26
931,22
932,10
933,19
934,18
935,11
936,13
937,7
938,30
939,12
940,26
941,0
942,12
943,12
944,12
945,7
946,24
947,24
948,8
949,27
950,7
951,12
952,30
953,15
954,5
955,14
956,13
957,1
958,11
959,13
960,30
961,12
962,5
963,30
964,21
965,7
966,1
967,5
968,15
969,12
970,3
971,3
972,5
973,4
974,5
975,14
976,20
977,3
978,0
979,27
980,9
981,26
982,31
983,31
984,29
985,14
986,10
987,12
988,25
989,25
990,3
991,28
992,2
993,4
994,0
995,18
996,1
997,29
998,29
999,26
1000,20
1001,5
1002,8
1003,15
1004,4
1005,1
1006,17
1007,28
1008,11
1009,3
1010,13
1011,18
1012,7
1013,0
1014,30
1015,19
1016,5
1017,3
1018,24
1019,29
1020,18
1021,31
1022,12
1023,28
1024,15
1025,14
1026,3
1027,9
1028,17
1029,11
1030,12
1031,3
1032,0
1033,20
1034,18
1035,2
1036,25
1037,31
1038,30
1039,1
1040,31
1041,12
1042,11
1043,18
1044,25
1045,27
1046,7
1047,21
1048,24
1049,21
1050,3
1051,23
1052,3
1053,7
1054,0
1055,24
1056,14
1057,8
1058,9
1059,4
1060,23
1061,7
1062,24
1063,12
1064,16
1065,5
1066,13
1067,22
1068,21
1069,15
1070,7
1071,11
1072,3
1073,28
1074,18
1075,3
1076,18
1077,3
1078,14
1079,13
1080,10
1081,15
1082,1
1083,5
1084,23
1085,15
1086,0
1087,2
1088,8
1089,12
1090,29
1091,28
1092,13
1093,12
1094,12
1095,9
1096,11
1097,30
1098,10
1099,2
1100,19
1101,11
1102,3
1103,30
1104,15
1105,29
1106,2
1107,20
1108,22
1109,15
1110,2
1111,28
1112,15
1113,25
1114,8
1115,18
1116,13
1117,27
1118,14
1119,9
1120,8
1121,8
1122,15
1123,27
1124,5
1125,7
1126,8
1127,7
1128,15
1129,30
1130,12
1131,11
1132,14
1133,12
1134,13
1135,21
1136,2
1137,1
1138,4
1139,15
1140,17
1141,29
1142,24
1143,1
1144,15
1145,3
1146,14
1147,4
1148,17
1149,17
1150,25
1151,26
1152,2
1153,25
1154,12
1155,3
1156,14
1157,25
1158,13
1159,15
1160,15
1161,1
1162,26
1163,29
1164,3
1165,14
1166,13
1167,10
1168,3
1169,31
1170,29
1171,8
1172,2
1173,25
1174,31
1175,30
1176,3
1177,22
1178,21
1179,20
1180,26
1181,11
1182,1
1183,24
1184,3
1185,25
1186,18
1187,7
1188,14
1189,12
1190,29
1191,5
1192,30
1193,5
1194,15
1195,7
1196,30
1197,14
1198,27
1199,19
1200,4
1201,23
1202,1
1203,18
1204,0
1205,24
1206,8
1207,3
1208,4
1209,27
1210,0
1211,25
1212,25
1213,14
1214,14
1215,13
1216,17
1217,0
1218,27
1219,26
1220,20
1221,12
1222,14
1223,17
1224,29
1225,15
1226,15
1227,4
1228,11
1229,5
1230,26
1231,1
1232,3
1233,0
1234,9
1235,8
1236,16
1237,24
1238,5
1239,24
1240,31
1241,22
1242,9
1243,26
1244,18
1245,20
1246,18
1247,15
1248,28
1249,24
1250,1
1251,4
1252,5
1253,7
1254,4
1255,27
1256,23
1257,21
1258,24
1259,3
1260,8
1261,0
1262,4
1263,25
1264,0
1265,14
1266,15
1267,31
1268,18
1269,0
1270,25
1271,2
1272,7
1273,22
1274,8
1275,8
1276,18
1277,20
1278,12
1279,8
1280,3
1281,7
1282,21
1283,29
1284,22
1285,11
1286,28
1287,19
1288,15
1289,0
1290,15
1291,29
1292,13
1293,30
1294,21
1295,28
1296,30
1297,27
1298,19
1299,9
1300,0
1301,12
1302,11
1303,4
1304,1
1305,19
1306,9
1307,20
1308,0
1309,20
1310,3
1311,22
1312,13
1313,18
1314,21
1315,19
1316,12
1317,30
1318,8
1319,1
1320,16
1321,19
1322,3
1323,5
1324,11
1325,17
1326,20
1327,31
1328,13
1329,0
1330,20
1331,12
1332,6
1333,14
1334,1
1335,14
1336,0
1337,29
1338,27
1339,2
1340,28
1341,7
1342,3
1343,1
1344,19
1345,21
1346,3
1347,31
1348,18
1349,12
1350,26
1351,18
1352,1
1353,30
1354,17
1355,8
1356,3
1357,11
1358,15
1359,29
1360,12
1361,27
1362,8
1363,27
1364,21
1365,18
1366,12
1367,13
1368,8
1369,12
1370,12
1371,3
1372,24
1373,3
1374,18
1375,4
1376,13
1377,0
1378,16
1379,31
1380,14
1381,1
1382,26
1383,10
1384,1
1385,23
1386,25
1387,23
1388,0
1389,14
1390,22
1391,29
1392,5
1393,28
1394,1
1395,12
1396,27
1397,21
1398,16
1399,25
1400,26
1401,10
1402,12
1403,20
1404,22
1405,30
1406,4
1407,1
1408,10
1409,10
1410,12
1411,10
1412,23
1413,24
1414,15
1415,18
1416,12
1417,29
1418,31
1419,8
1420,29
1421,28
1422,12
1423,21
1424,1
1425,3
1426,27
1427,14
1428,21
1429,18
1430,22
1431,10
1432,25
1433,4
1434,21
1435,6
1436,18
1437,28
1438,12
1439,22
1440,11
1441,9
1442,26
1443,3
1444,15
1445,21
1446,4
1447,28
1448,25
1449,31
1450,4
1451,1
1452,20
1453,5
1454,28
1455,28
1456,25
1457,5
1458,4
1459,2
1460,9
1461,12
1462,28
1463,25
1464,0
1465,1
1466,17
1467,19
1468,15
1469,18
1470,27
1471,27
1472,18
1473,18
1474,14
1475,12
1476,9
1477,5
1478,22
1479,9
1480,18
1481,8
1482,3
1483,28
1484,15
1485,8
1486,21
1487,27
1488,13
1489,29
1490,12
1491,12
1492,25
1493,13
1494,10
1495,0
1496,6
1497,25
1498,7
1499,30
1500,25
1501,2
1502,22
1503,23
1504,25
1505,0
1506,7
1507,8
1508,2
1509,28
1510,20
1511,5
1512,11
1513,4
1514,18
1515,6
1516,12
1517,3
1518,17
1519,1
1520,8
1521,24
1522,13
1523,7
1524,14
1525,18
1526,11
1527,25
1528,24
1529,12
1530,29
1531,26
1532,11
1533,28
1534,19
1535,31
1536,5
1537,5
1538,11
1539,3
1540,27
1541,19
1542,0
1543,14
1544,29
1545,0
1546,30
1547,13
1548,27
1549,14
1550,4
1551,11
1552,16
1553,14
1554,10
1555,27
1556,10
1557,13
1558,15
1559,24
1560,20
1561,28
1562,22
1563,12
1564,20
1565,14
1566,5
1567,18
1568,22
1569,28
1570,12
1571,15
1572,8
1573,24
1574,21
1575,30
1576,2
1577,4
1578,28
1579,12
1580,2
1581,30
1582,19
1583,28
1584,5
1585,24
1586,24
1587,2
1588,6
1589,3
1590,21
1591,28
1592,22
1593,17
1594,4
1595,4
1596,9
1597,5
1598,4
1599,11
1600,29
1601,2
1602,13
1603,3
1604,30
1605,26
1606,29
1607,11
1608,14
1609,1
1610,8
1611,26
1612,7
1613,19
1614,2
1615,29
1616,7
1617,28
1618,20
1619,13
1620,12
1621,19
1622,16
1623,15
1624,15
1625,21
1626,4
1627,27
1628,9
1629,5
1630,31
1631,12
1632,13
1633,1
1634,18
1635,8
1636,14
1637,5
1638,29
1639,22
1640,10
1641,21
1642,14
1643,4
1644,7
1645,31
1646,11
1647,0
1648,9
1649,31
1650,3
1651,14
1652,23
1653,29
1654,12
1655,29
1656,27
1657,28
1658,20
1659,2
1660,28
1661,12
1662,28
1663,27
1664,3
1665,15
1666,8
1667,26
1668,1
1669,6
1670,27
1671,13
1672,17
1673,0
1674,22
1675,9
1676,20
1677,2
1678,18
1679,30
1680,31
1681,2
1682,9
1683,17
1684,3
1685,9
1686,31
1687,6
1688,1
1689,12
1690,6
1691,17
1692,22
1693,24
1694,26
1695,23
1696,7
1697,4
1698,13
1699,12
1700,24
1701,10
1702,1
1703,22
1704,11
1705,23
1706,0
1707,24
1708,9
1709,20
1710,2
1711,25
1712,6
1713,14
1714,25
1715,6
1716,14
1717,3
1718,11
1719,13
1720,11
1721,9
1722,27
1723,12
1724,7
1725,0
1726,30
1727,12
1728,9
1729,28
1730,29
1731,7
1732,21
1733,29
1734,15
1735,29
1736,11
1737,28
1738,20
1739,24
1740,8
1741,30
1742,27
