timp(ms),P(KW),,,
1693,0.2254842,01/07/2024,11:29:46,AM
1708,0.2254842,01/07/2024,11:29:46,AM
1718,0.2254842,01/07/2024,11:29:46,AM
1729,0.2254842,01/07/2024,11:29:46,AM
1740,0.2254842,01/07/2024,11:29:46,AM
1751,0.2254842,01/07/2024,11:29:46,AM
1763,0.2254842,01/07/2024,11:29:46,AM
1777,0.2254842,01/07/2024,11:29:46,AM
1788,0.2254842,01/07/2024,11:29:46,AM
1799,0.2254842,01/07/2024,11:29:46,AM
1810,0.2254842,01/07/2024,11:29:46,AM
1821,0.2254842,01/07/2024,11:29:46,AM
1832,0.2254842,01/07/2024,11:29:46,AM
1843,0.2254842,01/07/2024,11:29:46,AM
1897,0.2254842,01/07/2024,11:29:46,AM
1908,0.2254842,01/07/2024,11:29:46,AM
1918,0.2254842,01/07/2024,11:29:46,AM
1930,0.2254842,01/07/2024,11:29:46,AM
1941,0.2254842,01/07/2024,11:29:46,AM
1952,0.2254842,01/07/2024,11:29:46,AM
1963,0.2254842,01/07/2024,11:29:46,AM
1977,0.2254842,01/07/2024,11:29:46,AM
1988,0.2254842,01/07/2024,11:29:46,AM
1998,0.2254842,01/07/2024,11:29:46,AM
2010,0.2254842,01/07/2024,11:29:46,AM
2021,0.2254842,01/07/2024,11:29:46,AM
2031,0.2254842,01/07/2024,11:29:46,AM
2043,0.2254842,01/07/2024,11:29:46,AM
2057,0.2254842,01/07/2024,11:29:46,AM
2068,0.2254842,01/07/2024,11:29:46,AM
2078,0.2254842,01/07/2024,11:29:46,AM
2090,0.2254842,01/07/2024,11:29:46,AM
2100,0.2254842,01/07/2024,11:29:46,AM
2111,0.2254842,01/07/2024,11:29:46,AM
2122,0.2254842,01/07/2024,11:29:46,AM
2137,0.2254842,01/07/2024,11:29:46,AM
2148,0.2254842,01/07/2024,11:29:46,AM
2159,0.2254842,01/07/2024,11:29:46,AM
2170,0.2254842,01/07/2024,11:29:46,AM
2181,0.2254842,01/07/2024,11:29:46,AM
2191,0.2254842,01/07/2024,11:29:46,AM
2202,0.2254842,01/07/2024,11:29:46,AM
2217,0.2254842,01/07/2024,11:29:46,AM
2228,0.2254842,01/07/2024,11:29:46,AM
2240,0.2277923,01/07/2024,11:29:46,AM
2251,0.2277923,01/07/2024,11:29:46,AM
2262,0.2277923,01/07/2024,11:29:46,AM
2276,0.2277923,01/07/2024,11:29:46,AM
2288,0.2277923,01/07/2024,11:29:46,AM
2299,0.2277923,01/07/2024,11:29:46,AM
2310,0.2277923,01/07/2024,11:29:46,AM
2322,0.2277923,01/07/2024,11:29:46,AM
2336,0.2277923,01/07/2024,11:29:46,AM
2347,0.2277923,01/07/2024,11:29:46,AM
2357,0.2277923,01/07/2024,11:29:46,AM
2368,0.2277923,01/07/2024,11:29:46,AM
2380,0.2277923,01/07/2024,11:29:46,AM
2390,0.2277923,01/07/2024,11:29:46,AM
2401,0.2277923,01/07/2024,11:29:46,AM
2416,0.2277923,01/07/2024,11:29:46,AM
2426,0.2277923,01/07/2024,11:29:46,AM
2437,0.2277923,01/07/2024,11:29:46,AM
2449,0.2277923,01/07/2024,11:29:46,AM
2462,0.2277923,01/07/2024,11:29:46,AM
2470,0.2277923,01/07/2024,11:29:46,AM
2482,0.2277923,01/07/2024,11:29:46,AM
2496,0.2277923,01/07/2024,11:29:46,AM
2506,0.2277923,01/07/2024,11:29:46,AM
2517,0.2277923,01/07/2024,11:29:46,AM
2528,0.2277923,01/07/2024,11:29:46,AM
2540,0.2277923,01/07/2024,11:29:46,AM
2550,0.2277923,01/07/2024,11:29:46,AM
2561,0.2277923,01/07/2024,11:29:46,AM
2576,0.2277923,01/07/2024,11:29:46,AM
2586,0.2277923,01/07/2024,11:29:46,AM
2597,0.2277923,01/07/2024,11:29:46,AM
2609,0.2277923,01/07/2024,11:29:46,AM
2620,0.2277923,01/07/2024,11:29:46,AM
2630,0.2277923,01/07/2024,11:29:46,AM
2641,0.2277923,01/07/2024,11:29:46,AM
2656,0.2277923,01/07/2024,11:29:46,AM
2667,0.2277923,01/07/2024,11:29:46,AM
2678,0.2277923,01/07/2024,11:29:46,AM
2688,0.2277923,01/07/2024,11:29:47,AM
2699,0.2277923,01/07/2024,11:29:47,AM
2710,0.2277923,01/07/2024,11:29:47,AM
2721,0.2277923,01/07/2024,11:29:47,AM
2736,0.2277923,01/07/2024,11:29:47,AM
2746,0.2277923,01/07/2024,11:29:47,AM
2757,0.2277923,01/07/2024,11:29:47,AM
2768,0.2277923,01/07/2024,11:29:47,AM
2780,0.2277923,01/07/2024,11:29:47,AM
2790,0.2277923,01/07/2024,11:29:47,AM
2801,0.2277923,01/07/2024,11:29:47,AM
2816,0.2277923,01/07/2024,11:29:47,AM
2826,0.2277923,01/07/2024,11:29:47,AM
2837,0.2277923,01/07/2024,11:29:47,AM
2848,0.2277923,01/07/2024,11:29:47,AM
2859,0.2277923,01/07/2024,11:29:47,AM
2871,0.2277923,01/07/2024,11:29:47,AM
2881,0.2277923,01/07/2024,11:29:47,AM
2896,0.2277923,01/07/2024,11:29:47,AM
2947,0.2277923,01/07/2024,11:29:47,AM
2957,0.2277923,01/07/2024,11:29:47,AM
2968,0.2277923,01/07/2024,11:29:47,AM
2980,0.2277923,01/07/2024,11:29:47,AM
2990,0.2277923,01/07/2024,11:29:47,AM
3001,0.2277923,01/07/2024,11:29:47,AM
3016,0.2277923,01/07/2024,11:29:47,AM
3026,0.2277923,01/07/2024,11:29:47,AM
3038,0.2277923,01/07/2024,11:29:47,AM
3049,0.2277923,01/07/2024,11:29:47,AM
3060,0.2277923,01/07/2024,11:29:47,AM
